Date,Year,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League
1991-10-19,1991,Santiago Bernabéu Stadium,1,1,Draw,,,Koeman,Prosinečki,La Liga
1992-03-07,1992,Camp Nou,1,1,Draw,,,Koeman,Hierro,La Liga
1992-09-05,1992,Camp Nou,2,1,Barcelona,,,"Bakero, Stoichkov",Míchel,La Liga
1993-01-29,1993,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Amor,"Zamorano, Míchel",La Liga
1994-01-08,1994,Camp Nou,5,0,Barcelona,,,"Romário, Romário, Romário, Koeman, Iglesias",,La Liga
1994-05-06,1994,Santiago Bernabéu Stadium,1,0,Barcelona,,,Amor,,La Liga
1995-01-06,1995,Santiago Bernabéu Stadium,0,5,Real Madrid,,,,"Zamorano, Zamorano, Zamorano, Enrique, Amavisca",La Liga
1995-05-26,1995,Camp Nou,1,0,Barcelona,,,Nadal,,La Liga
1995-09-30,1995,Santiago Bernabéu Stadium,1,1,Draw,,,Roger,Raúl,La Liga
1996-02-09,1996,Camp Nou,3,0,Barcelona,,,"Kodro, Kodro, Figo",,La Liga
1996-12-07,1996,Santiago Bernabéu Stadium,0,2,Real Madrid,,,,"Šuker, Mijatović",La Liga
1997-05-10,1997,Camp Nou,1,0,Barcelona,,,Ronaldo,,La Liga
1997-11-01,1997,Santiago Bernabéu Stadium,3,2,Barcelona,,,"Rivaldo, Enrique, Giovanni","Raúl, Šuker",La Liga
1998-03-07,1998,Camp Nou,3,0,Barcelona,,,"Anderson, Figo, Giovanni",,La Liga
1998-09-19,1998,Santiago Bernabéu Stadium,2,2,Draw,,,"Kluivert, Anderson","Raúl, Raúl",La Liga
1999-02-14,1999,Camp Nou,3,0,Barcelona,,,"Enrique, Enrique, Rivaldo",,La Liga
1999-10-13,1999,Camp Nou,2,2,Draw,,,"Rivaldo, Figo","Raúl, Raúl",La Liga
2000-02-26,2000,Santiago Bernabéu Stadium,0,3,Real Madrid,,,,"Carlos, Anelka, Morientes",La Liga
2000-10-21,2000,Camp Nou,2,0,Barcelona,,,"Enrique, Simão",,La Liga
2001-03-03,2001,Santiago Bernabéu Stadium,2,2,Draw,,,"Rivaldo, Rivaldo","Raúl, Raúl",La Liga
2001-11-04,2001,Santiago Bernabéu Stadium,0,2,Real Madrid,,,,"Morientes, Figo",La Liga
2002-03-16,2002,Camp Nou,1,1,Draw,,,Xavi,Zidane,La Liga
2002-11-23,2002,Camp Nou,0,0,Draw,,,,,La Liga
2003-04-19,2003,Santiago Bernabéu Stadium,1,1,Draw,,,Enrique,Ronaldo,La Liga
2003-12-06,2003,Camp Nou,1,2,Real Madrid,,,Kluivert,"Carlos, Ronaldo",La Liga
2004-04-25,2004,Santiago Bernabéu Stadium,2,1,Barcelona,,,"Kluivert, Xavi",Solari,La Liga
2004-11-20,2004,Camp Nou,3,0,Barcelona,,,"o, Bronckhorst, Ronaldinho",,La Liga
2005-04-10,2005,Santiago Bernabéu Stadium,2,4,Real Madrid,,,"o, Ronaldinho","Zidane, Ronaldo, Raúl, Owen",La Liga
2005-11-19,2005,Santiago Bernabéu Stadium,3,0,Barcelona,,,"o, Ronaldinho, Ronaldinho",,La Liga
2006-04-01,2006,Camp Nou,1,1,Draw,,,Ronaldinho,Ronaldo,La Liga
2006-10-22,2006,Santiago Bernabéu Stadium,0,2,Real Madrid,,,,"Raúl, Nistelrooy",La Liga
2007-03-10,2007,Camp Nou,3,3,Draw,,,"Messi, Messi, Messi","Nistelrooy, Nistelrooy, Ramos",La Liga
2007-12-23,2007,Camp Nou,0,1,Real Madrid,,,,Baptista,La Liga
2008-05-07,2008,Santiago Bernabéu Stadium,1,4,Real Madrid,,,Henry,"Raúl, Robben, Higuaín, Nistelrooy",La Liga
2008-12-13,2008,Camp Nou,2,0,Barcelona,,,"o, Messi",,La Liga
