Date,Venue,League,Winner,Scorer,Team,Real_Madrid_Own_Goal,Barcelona_Own_Goal
19-09-1976,Camp Nou,La Liga,Barcelona,Cruyff,Barcelona,,
19-09-1976,Camp Nou,La Liga,Barcelona,Heredia,Barcelona,,
19-09-1976,Camp Nou,La Liga,Barcelona,Pirri,Real Madrid,,
30-01-1977,Santiago Bernabeu Stadium,La Liga,Draw,Cruyff,Barcelona,,
30-01-1977,Santiago Bernabeu Stadium,La Liga,Draw,Pirri,Real Madrid,,
04-12-1977,Camp Nou,La Liga,Real Madrid,Rexach,Barcelona,,
04-12-1977,Camp Nou,La Liga,Real Madrid,Rexach,Barcelona,,
04-12-1977,Camp Nou,La Liga,Real Madrid,Jensen,Real Madrid,,
04-12-1977,Camp Nou,La Liga,Real Madrid,Santillana,Real Madrid,,
04-12-1977,Camp Nou,La Liga,Real Madrid,Stielike,Real Madrid,,
05-04-1978,Santiago Bernabeu Stadium,La Liga,Real Madrid,Jensen,Real Madrid,,
05-04-1978,Santiago Bernabeu Stadium,La Liga,Real Madrid,Jensen,Real Madrid,,
05-04-1978,Santiago Bernabeu Stadium,La Liga,Real Madrid,Juanito,Real Madrid,,
05-04-1978,Santiago Bernabeu Stadium,La Liga,Real Madrid,Santillana,Real Madrid,,
23-09-1978,Santiago Bernabeu Stadium,La Liga,Real Madrid,Neeskens,Barcelona,,
23-09-1978,Santiago Bernabeu Stadium,La Liga,Real Madrid,Santillana,Real Madrid,,
23-09-1978,Santiago Bernabeu Stadium,La Liga,Real Madrid,Santillana,Real Madrid,,
23-09-1978,Santiago Bernabeu Stadium,La Liga,Real Madrid,Jensen,Real Madrid,,
17-02-1979,Camp Nou,La Liga,Barcelona,Krankl,Barcelona,,
17-02-1979,Camp Nou,La Liga,Barcelona,Asensi,Barcelona,,
23-09-1979,Santiago Bernabeu Stadium,La Liga,Real Madrid,Landaburu,Barcelona,,
23-09-1979,Santiago Bernabeu Stadium,La Liga,Real Madrid,Krankl,Barcelona,,
23-09-1979,Santiago Bernabeu Stadium,La Liga,Real Madrid,Santillana,Real Madrid,,
